 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmg160_x[mDeg];bmg160_y[mDeg];bmg160_z[mDeg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
0;-25;294;1062;19409;148620;-106994;-11;535;1127;15747;147155;-107788;
10;406;449;1101;31188;62622;-41687;325;398;1064;31555;56091;-37475;
20;255;519;976;48156;90148;-33813;258;475;982;60302;135375;-37963;
30;185;505;929;59875;130187;-38146;258;475;982;60302;135375;-37963;
40;193;484;910;57922;147521;-40649;181;488;986;56396;150817;-40588;
50;253;488;923;57922;147521;-40649;181;488;986;56396;150817;-40588;
60;332;509;953;47851;142517;-42297;218;442;972;44372;141540;-41870;
70;283;498;1011;41564;144653;-54138;306;430;943;37963;143249;-54870;
80;140;482;1039;43395;170532;-71716;188;444;985;40954;172851;-73608;
90;-19;501;994;51269;192749;-82275;188;444;985;49682;195861;-83251;
100;-128;486;1000;55969;197937;-81115;25;466;1034;54077;197570;-79711;
110;-142;531;996;52124;179870;-63171;-129;509;1064;49072;174987;-58654;
120;-31;564;974;45715;143615;-36499;-98;569;1098;41442;134521;-30212;
130;101;484;998;10070;63842;-17761;49;452;1081;4028;54260;-17517;
140;91;458;982;-61;34301;-18371;70;445;1104;854;1403;-9155;
150;123;464;955;976;7812;-10375;60;435;1056;854;1403;-9155;
160;130;462;933;976;7812;-10375;60;435;1056;854;1403;-9155;
170;123;470;919;6469;-4333;-5004;60;435;1056;854;1403;-9155;
180;76;468;847;8850;7751;-3601;74;444;883;8361;11291;-3540;
190;93;468;833;6347;18920;-1953;74;444;883;8361;11291;-3540;
200;113;462;837;-305;12451;549;55;441;887;4272;20812;-1831;
210;144;458;849;-9826;-3967;2929;78;443;908;-3906;9033;1037;
220;189;419;830;-18066;-23986;2929;111;430;926;-13977;-10498;2929;
230;189;412;802;-24230;-42236;-183;148;401;914;-21545;-31127;1953;
240;175;400;796;-30944;-57006;-5310;159;380;851;-34179;-61889;-7873;
250;144;351;867;-37475;-67871;-8178;145;373;855;-40039;-71166;-9887;
260;144;357;869;-38818;-72082;-7080;145;373;855;-40039;-71166;-9887;
270;164;386;880;-34545;-72021;915;122;352;892;-39123;-73059;-6652;
280;193;402;871;-28503;-75439;11047;123;373;922;-32714;-72326;3784;
290;228;421;845;-24719;-82153;16601;166;386;924;-26306;-77209;13549;
300;257;402;802;-23925;-87524;15380;244;376;865;-23803;-89477;12634;
310;238;406;755;-28747;-89416;4211;262;364;814;-32043;-88684;671;
320;212;433;767;-39367;-89111;61;207;405;814;-46691;-91491;-3051;
330;257;414;839;-57556;-100463;-4211;201;396;855;-67810;-109069;-8056;
340;261;408;865;-75866;-121948;-10070;201;396;855;-67810;-109069;-8056;
350;265;410;876;-75866;-121948;-10070;237;377;901;-83557;-132019;-14770;
360;277;404;906;-86181;-137634;-16479;267;384;929;-90820;-142028;-20874;
370;271;376;962;-92590;-139343;-20202;267;384;929;-90820;-142028;-20874;
380;259;365;996;-95214;-133361;-20507;272;373;963;-96069;-138122;-22644;
390;255;351;1015;-91125;-125122;-18310;258;354;1010;-95703;-129272;-21606;
400;265;343;1033;-82580;-119384;-13183;245;346;1049;-88500;-121276;-17517;
410;273;339;1033;-70434;-114318;-8972;255;331;1057;-77026;-117065;-11901;
420;267;330;1023;-59875;-107543;-3417;258;338;1071;-55175;-105590;-122;
430;314;332;1003;-43029;-111938;13793;270;322;1069;-46936;-109313;9460;
440;328;320;994;-43029;-111938;13793;297;324;1057;-38146;-115112;16967;
450;330;306;988;-35827;-118774;21240;297;324;1057;-38146;-115112;16967;
460;332;291;955;-28320;-127258;28564;310;304;1041;-30822;-122924;24230;
470;373;275;933;-22277;-136779;37414;320;289;1019;-22949;-132019;32043;
480;503;279;859;-17761;-147216;47363;452;254;894;-13671;-150146;49499;
490;560;279;789;-13671;-147705;49438;452;254;894;-13671;-150146;49499;
500;591;269;765;-13610;-132324;44616;540;254;791;-10803;-139587;45593;
510;595;228;785;-20690;-111145;40405;567;245;756;-16906;-117797;39916;
520;591;224;789;-19409;-91979;37231;568;213;788;-21789;-96435;36376;
530;593;230;777;-13610;-80871;36376;563;218;816;-15625;-81848;34667;
540;626;179;794;-8666;-78735;39123;565;223;826;-2685;-78430;39916;
550;642;193;798;1037;-77880;41198;589;181;822;-2685;-78430;39916;
560;642;191;787;13244;-68908;42907;608;177;818;10620;-72448;41259;
570;605;187;777;23010;-58105;45776;613;191;808;21667;-60058;43823;
580;599;199;769;33386;-52978;50354;585;192;815;31677;-51879;47851;
590;615;246;730;41015;-53771;56823;568;203;812;41198;-52124;54321;
600;658;250;714;42297;-54199;61523;593;232;771;40527;-51635;61462;
610;730;250;658;35949;-42419;54443;685;226;729;36621;-44372;56091;
620;736;228;654;35949;-42419;54443;685;226;729;36621;-44372;56091;
630;736;203;671;29479;-32470;46020;709;211;684;32714;-33569;46447;
640;730;218;673;18920;-24230;39550;707;192;692;20568;-24902;39550;
650;693;193;689;11352;-18188;34057;695;196;723;11352;-18432;34118;
660;697;216;691;6713;-18371;30639;665;194;749;6652;-17211;30029;
670;695;212;699;1647;-24353;30212;666;204;752;1953;-23071;29113;
680;720;207;710;-1098;-29357;28991;675;189;749;-1647;-29541;28747;
690;753;214;712;-3356;-28381;26367;699;195;741;-3540;-29785;25939;
700;738;214;710;-5676;-22644;23681;717;202;741;-5981;-23620;23071;
710;718;189;712;-7690;-18005;21362;703;192;756;-8544;-17761;20751;
720;714;185;712;-8361;-19042;19897;681;175;769;-9460;-18188;19165;
730;753;171;695;-6713;-24841;19775;718;170;747;-7202;-25878;19226;
740;755;166;697;-6713;-24841;19775;718;170;747;-7202;-25878;19226;
750;750;162;699;-6591;-21667;17028;728;156;732;-7202;-22521;16723;
760;732;134;689;-6835;-16906;14526;720;144;732;-7568;-17028;13671;
770;732;150;708;-5432;-14953;13305;701;128;748;-6469;-14648;12512;
780;751;146;732;-2807;-15136;13122;717;139;760;-3601;-15319;12573;
790;763;162;736;305;-12756;12145;733;141;765;-366;-13305;11779;
800;755;173;732;2990;-8850;10070;734;153;772;2685;-8666;9521;
810;734;181;724;4699;-7080;8483;721;165;776;4211;-6713;7690;
820;722;177;720;5981;-9460;7690;700;171;776;5432;-9399;6958;
830;716;197;708;6347;-12634;8300;693;179;764;5981;-12817;7690;
840;707;181;691;5065;-14465;9948;686;188;750;4699;-14770;9521;
850;703;183;687;3051;-16601;11840;682;180;740;2502;-16784;11352;
860;714;175;681;1525;-19165;14282;682;175;738;793;-19348;13854;
870;753;164;691;61;-22216;16479;704;161;731;-671;-22644;16174;
880;783;160;685;915;-21240;15625;741;146;721;305;-21545;15014;
890;769;146;695;2441;-15258;12573;749;140;727;2258;-14465;11535;
